"TELERIDE_NUMBER","STOP_NAME","POINT"
"6399","WB Edgemont BV @ Edgevalley DR NW","POINT (-114.1457005 51.1273088)"
"5955","Anderson LRT Station","POINT (-114.0737748 50.9541501)"
"9920","SB 52 ST SE @ 21 AV SE","POINT (-113.9585115 51.0350366)"
"4454","EB Country Hills BV @ Harvest Hills GA NE","POINT (-114.047304 51.154106)"
"9004","WB 64 AV NW @ Hunts CR","POINT (-114.0761632 51.1116386)"
"8739","NB Centre ST N @ 25 AV N","POINT (-114.0624358 51.0755218)"
"5972","WB Bonaventure DR@ W. of Fairmount DR SE","POINT (-114.06642 50.9544782)"
"1972","SB Skyview Ranch BV @ Skyview Ranch AV NE","POINT (-113.951197 51.1605812)"
"4340","WB 26 AV NE @ 50 ST NE","POINT (-113.961932 51.0763599)"
"2342","SB 68 ST SE @ 14 AV SE","POINT (-113.9353314 51.0400983)"
"8907","NB Rocky Ridge DR @ 400 Rocky Ridge  VW NW","POINT (-114.2494097 51.1435484)"
"8810","WB Bowness RD @ 70 ST NW","POINT (-114.1909182 51.0890621)"
"9251","EB 1 AV NW @ 21 ST NW","POINT (-114.1110647 51.0534093)"
"5931","EB Varsity DR @ 40 ST NW","POINT (-114.145785 51.0911702)"
"4373","NB Deer Ridge DR @ S. of Canyon Meadows DR SE","POINT (-114.0269447 50.9303708)"
"9334","WB Bonaventure DR @ Fairmount DR SE","POINT (-114.0611518 50.9538752)"
"7586","SB Ogden RD @ 80 AV SE","POINT (-113.9990193 50.9805871)"
"4979","SB 114 AV SE @ 29 ST SE","POINT (-113.9957333 50.9508448)"
"4286","NB Harvest Hills BV @ Harvest Oak GA NE","POINT (-114.0640171 51.1462159)"
"7126","EB Varsity Estates DR @ Varsity Estates PL NW","POINT (-114.1760454 51.1076552)"
"5620","SB Carleton ST @ Montcalm CR SW","POINT (-114.0900248 51.0274603)"
"4921","SB 73 ST SW @ Weston PA","POINT (-114.1937076 51.0651674)"
"8266","EB 17 AV SE @ 42 ST SE","POINT (-113.9723077 51.0377348)"
"8458","EB Country Village RD @ Harvest Hills BV NE","POINT (-114.0687565 51.1602633)"
"7468","WB Bow TR @ 45 ST SW","POINT (-114.1534258 51.0490904)"
"9311","WB Woodpark BV @ Woodacres DR SW","POINT (-114.1222998 50.9361922)"
"4630","EB Spruce DR @ 42 ST SW","POINT (-114.1473533 51.0522343)"
"7880","SB Falconridge BV @ Martindale BV NE","POINT (-113.9470102 51.1136421)"
"2168","WB 8 AV NE @ 13A ST NE","POINT (-114.0290813 51.0592177)"
"3424","EB Sherwood Blvd @ Sherwood Heights","POINT (-114.1575597 51.1656083)"
"8055","SB Riverbend DR @ Riverside CL SE","POINT (-114.0251278 50.9766491)"
"6467","SB Parkland BV @ Parkside DR SE","POINT (-114.0279736 50.9233898)"
"4910","EB 130 AV SE @ 48 ST SE","POINT (-113.9639402 50.9317617)"
"2742","NB Wolf Willow BV SE @ 194 AV SE, nearside","POINT (-114.0032356 50.8772541)"
"4341","WB 28 AV NE @ Pineland RD","POINT (-113.9450268 51.0780778)"
"2241","WB Walden DR @ Walden HT SE","POINT (-114.0330505 50.8682081)"
"6730","Lions Park LRT Station (WB 14 AV NW)","POINT (-114.103569 51.0652785)"
"6312","WB Richmond RD @ Kerrydale RD SW","POINT (-114.1386635 51.0232834)"
"7460","NB 37 ST SW @ 13 AV SW","POINT (-114.1410206 51.0417535)"
"4862","NB 4 ST NW @ 26 AV NW","POINT (-114.0714023 51.0764306)"
"7073","EB 52 AV NW @ Benton DR","POINT (-114.1368282 51.1008992)"
"8804","NB Bowness RD @ Bowwater CR NW","POINT (-114.1731915 51.0811419)"
"8823","NB 68 ST SE @ 14 AV SE","POINT (-113.934918 51.040915)"
"3471","NB Sherwood BV @ 300 Sherwood PL NW","POINT (-114.1541367 51.1598656)"
"3378","EB Richardson WY @ Bishop WY SW","POINT (-114.1280239 51.0141983)"
"6359","SB 52 ST NE @ Marbank DR","POINT (-113.9586805 51.0612806)"
"2626","EB Merganser DR W @ McIvor TC","POINT (-113.821522 51.037786)"
"6351","EB 40 AV NW @ 4 ST NW","POINT (-114.0703735 51.0877383)"
"7202","SB Hawksbrow DR @ Hawkwood HL NW","POINT (-114.1757756 51.1275358)"
"3842","SB Nose Hill DR @ Arbour Lake WY NW","POINT (-114.1852837 51.1371286)"
"7131","NB Silver Springs BV @ Silver Springs GA NW","POINT (-114.188926 51.1042421)"
"8387","NB Erin Woods DR @ Erin Park DR SE","POINT (-113.9673134 51.0228982)"
"7129","SB 53 ST NW @ Valparaiso PL","POINT (-114.1646136 51.1006773)"
"7458","WB 17 AV SW @ 33 ST SW","POINT (-114.1359932 51.0379065)"
"8059","NB Riverbend DR @ Riverbirch CR SE","POINT (-114.0186475 50.9781658)"
"5243","SB 10 ST NW@ 20 AV NW","POINT (-114.0849998 51.0702314)"
"4629","EB Spruce DR @ 40 ST SW","POINT (-114.1447862 51.0522076)"
"2112","EB Auburn Bay DR @ S.leg Auburn Glen HT SE","POINT (-113.9561938 50.8941451)"
"1932","Saddletowne Terminal Stop K","POINT (-113.9482293 51.1260583)"
"5742","WB Northmount DR @ 14 ST NW","POINT (-114.0958239 51.0831595)"
"7400","WB Dalhousie DR @ Dalham CR NW","POINT (-114.1591367 51.1068226)"
"8481","SB Signall Hill DR @ Sienna Park DR SW","POINT (-114.1826 51.0287682)"
"7237","EB Arbour Lake DR @ John Laurie BV NW","POINT (-114.2029852 51.133551)"
"2564","EB 88 AV NE @ Savanna ST","POINT (-113.9520899 51.1323117)"
"7049","SB Mountain Park DR @ Mount Belcher PL SE","POINT (-113.9941171 50.9101361)"
"6732","NB Nose Hill DR @ Silver Springs RD NW","POINT (-114.2108672 51.1102276)"
"6665","SB Sarcee RD @ 40 AV SW","POINT (-114.1350038 51.0176439)"
"9922","SB 24 ST SE @ Quarry Park BV","POINT (-114.0018585 50.9631097)"
"4937","WB Douglas Glen GA @ 24 ST SE","POINT (-114.0016669 50.9540108)"
"5502","SB 14 ST NW @ North Haven DR","POINT (-114.0948961 51.0918317)"
"4688","NB 16 ST SW @ 50 AV SW","POINT (-114.1004373 51.0091809)"
"9507","SB Hamptons DR @ Hamptons WY NW","POINT (-114.1507958 51.1464658)"
"7372","SB Mount McKenzie DR @ Mount Aberdeen CI SE","POINT (-113.9816877 50.9274097)"
"2481","SB 18 ST @ 66 AV SE","POINT (-114.0158826 50.9937223)"
"9949","WB Discovery Ridge BV @ 300 Discovery Ridge BY SW","POINT (-114.2288447 51.0191442)"
"7768","SB 36 ST SE @ 12 AV SE","POINT (-113.9817362 51.0421526)"
"9763","SB Panamount BV @ Hidden Creek WY NW","POINT (-114.0928739 51.1590802)"
"7646","SB Inverness GA @ McKenzie Towne BV SE","POINT (-113.9651343 50.9153945)"
"5256","NB Edmonton TR @ 11 AV NE","POINT (-114.0557063 51.0627775)"
"4916","WB 114 AV SE @ 35 ST SE","POINT (-113.9863647 50.9496119)"
"9613","WB New Brighton DR @  New Brighton PA SE","POINT (-113.9459363 50.9164748)"
"8227","NB Shawnessy DR @ Shawmeadows GA SW","POINT (-114.0735298 50.9113637)"
"4988","WB Saddlecrest BV @ Saddlecrest WY NE","POINT (-113.9402597 51.1375002)"
"4170","WB Strathcona DR @ 58 ST SW","POINT (-114.1721986 51.0421708)"
"4548","WB 62 AV SE @ 19 ST SE","POINT (-114.0146533 50.9977719)"
"9419","WB 8 AV NE @ 16A ST NE","POINT (-114.020803 51.0592569)"
"7676","WB Douglas Woods DR @ Douglas Woods TC SE","POINT (-113.9970502 50.9461023)"
"3597","NB Cranford DR @ Cranford CR SE","POINT (-113.9680844 50.8760406)"
"7489","NB 19 ST SE @ Century PL","POINT (-114.0082886 51.0479181)"
"4886","SB 4 ST NW @ Blackthorn RD NW","POINT (-114.0715753 51.1069094)"
