GETBUSID,TRADENAME,ADDRESS,COMDISTNM,LICENCETYPES,JOBSTATUSDESC,POINT
15931892,DEVIL'S HEAD COFFEE ROASTERS,#5 5700 BARLOW TR SE,FOOTHILLS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",Renewal Licensed,POINT (-113.987349 51.0021818)
12800702,CACTUS CLUB CAFE,7010 MACLEOD TR SE,FAIRVIEW INDUSTRIAL,"ENTERTAINMENT ESTABLISHMENT,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0708343 50.9912773)
15329220,CHEESECAKE CAFE (THE),7600 MACLEOD TR SE,FAIRVIEW INDUSTRIAL,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0698998 50.9857608)
14649396,STARBUCKS COFFEE #50324,7218 MACLEOD TR SE,FAIRVIEW INDUSTRIAL,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.070843 50.9886336)
14814545,FEEL GOOD CAFE,#105 8180 MACLEOD TR SE,FAIRVIEW,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0704234 50.9818455)
13986336,TIM HORTONS - EVERGREEN RESTAURANT #3092,45 EVERRIDGE DR SW,EVERGREEN,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.1240729 50.9210388)
12332219,STARBUCKS COFFEE #4537,#310 2250 162 AV SW,EVERGREEN,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.1089742 50.9071876)
13920772,TIM HORTONS #5325,#110 12580 SYMONS VALLEY RD NW,EVANSTON,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.129531 51.1667685)
12642179,STARBUCKS COFFEE # 4864,#103 12294 SYMONS VALLEY RD NW,EVANSTON,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.1272773 51.1634599)
14742001,TIM HORTONS #5285,#2000 2045 SYMONS VALLEY PY NW,EVANSTON,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.1070045 51.1751589)
